;sp260223_002 ch: 1907283U1;;sp260223_002 ch: 7513481SP;
Wavelength [nm];Intensity;Wavelength [nm];intensity;
294,6283;129,91089;279,1169;63,772134;
294,9171;136,77179;279,4041;62,321281;
295,2060;136,23637;279,6913;65,106077;
295,4949;129,91229;279,9785;64,965247;
295,7838;123,76501;280,2657;61,417323;
296,0727;125,83193;280,5529;61,059983;
296,3616;128,82362;280,8401;60,497231;
296,6505;128,1465;281,1272;64,962134;
296,9394;128,97238;281,4144;65,767317;
297,2283;125,62254;281,7016;67,675167;
297,5172;120,87573;281,9888;61,693566;
297,8061;119,8792;282,2760;62,603897;
298,0950;125,89473;282,5632;54,680762;
298,3839;121,40821;282,8504;60,714004;
298,6728;119,85227;283,1376;59,231941;
298,9617;127,35655;283,4248;61,666896;
299,2506;123,47946;283,7120;54,266297;
299,5394;110,53848;283,9992;61,112021;
299,8283;111,77289;284,2863;60,878877;
300,1172;130,12281;284,5735;60,973385;
300,4061;122,71259;284,8607;61,791235;
300,6950;121,65739;285,1479;59,565552;
300,9839;119,43455;285,4351;56,881787;
301,2728;119,0599;285,7223;62,163089;
301,5617;116,07247;286,0095;63,945337;
301,8506;118,53101;286,2967;63,382939;
302,1395;117,90144;286,5839;60,777397;
302,4284;129,22901;286,8711;60,370885;
302,7173;128,97103;287,1583;57,160566;
303,0062;116,42618;287,4455;55,457613;
303,2951;119,90437;287,7326;59,095805;
303,5840;129,05694;288,0198;62,461481;
303,8729;131,99881;288,3070;63,757202;
304,1617;130,20289;288,5942;61,963832;
304,4506;126,61972;288,8814;60,143843;
304,7395;124,95148;289,1686;62,408137;
305,0284;121,90972;289,4558;58,830806;
305,3173;125,14957;289,7430;58,275226;
305,6062;137,60168;290,0302;61,791717;
305,8951;138,24893;290,3174;59,835816;
306,1840;141,28289;290,6046;56,419493;
306,4729;138,54137;290,8917;61,269578;
306,7618;148,14891;291,1789;65,946327;
307,0507;150,26202;291,4661;68,136733;
307,3396;139,67608;291,7533;63,772473;
307,6285;144,88505;292,0405;59,538617;
307,9174;141,20564;292,3277;58,425124;
308,2063;124,32389;292,6149;60,245346;
308,4952;121,57119;292,9021;58,79178;
308,7840;115,89229;293,1893;55,871425;
309,0729;120,46366;293,4765;56,094347;
309,3618;119,6523;293,7637;62,118617;
309,6507;116,59204;294,0509;62,302087;
309,9396;121,48675;294,3380;59,734134;
310,2285;107,15323;294,6252;57,567682;
310,5174;105,82625;294,9124;58,723324;
310,8063;110,84127;295,1996;57,795913;
311,0952;118,09526;295,4868;50,68596;
311,3841;117,66653;295,7740;51,501066;
311,6730;109,15526;296,0612;56,118303;
311,9619;117,03245;296,3484;56,510388;
312,2508;117,22268;296,6356;58,133665;
312,5397;110,56684;296,9228;52,045197;
312,8286;105,98733;297,2100;53,170012;
313,1175;101,2906;297,4971;50,426579;
313,4063;108,87339;297,7843;58,468608;
313,6952;110,0977;298,0715;63,683764;
313,9841;99,329338;298,3587;58,724584;
314,2730;99,270663;298,6459;60,599496;
314,5619;105,43921;298,9331;75,334926;
314,8508;111,90934;299,2203;65,662643;
315,1397;101,05154;299,5075;70,810491;
315,4286;105,55661;299,7947;62,198913;
315,7175;98,547177;300,0819;64,621504;
316,0064;105,13742;300,3691;67,672418;
316,2953;104,37102;300,6562;72,105932;
316,5842;95,937047;300,9434;66,061656;
316,8731;100,16004;301,2306;66,439441;
317,1620;100,02689;301,5178;59,188839;
317,4509;102,1036;301,8050;63,422344;
317,7398;97,298663;302,0922;68,613504;
318,0286;108,08267;302,3794;71,414514;
318,3175;104,6495;302,6666;67,47278;
318,6064;95,56065;302,9538;63,597451;
318,8953;101,95273;303,2410;63,205212;
319,1842;100,74788;303,5282;67,578051;
319,4731;110,16099;303,8154;66,719664;
319,7620;109,0498;304,1025;63,700128;
320,0509;102,23981;304,3897;67,999629;
320,3398;101,76796;304,6769;65,835251;
320,6287;102,78451;304,9641;65,664543;
320,9176;105,35089;305,2513;67,5402;
321,2065;101,88604;305,5385;63,855756;
321,4954;100,50004;305,8257;66,095879;
321,7843;100,41614;306,1129;70,747696;
322,0732;97,073879;306,4001;64,385323;
322,3621;101,35142;306,6873;65,919274;
322,6509;96,301016;306,9745;61,640956;
322,9398;94,040297;307,2616;67,22399;
323,2287;96,626597;307,5488;65,044004;
323,5176;106,12041;307,8360;69,704027;
323,8065;98,090256;308,1232;60,964613;
324,0954;96,152731;308,4104;67,024231;
324,3843;97,396269;308,6976;66,87015;
324,6732;101,89661;308,9848;70,832759;
324,9621;99,621538;309,2720;69,053592;
325,2510;113,43662;309,5592;66,778399;
325,5399;104,1432;309,8464;65,793474;
325,8288;93,203862;310,1336;69,294214;
326,1177;97,000414;310,4208;71,278229;
326,4066;92,701728;310,7079;65,655265;
326,6955;103,70308;310,9951;64,88907;
326,9844;101,12373;311,2823;67,921593;
327,2732;99,910729;311,5695;59,747082;
327,5621;107,13912;311,8567;60,237975;
327,8510;106,72075;312,1439;69,72587;
328,1399;97,212103;312,4311;66,78592;
328,4288;96,491818;312,7183;65,534049;
328,7177;100,57975;313,0055;65,990015;
329,0066;107,64912;313,2927;67,587476;
329,2955;104,06481;313,5799;68,666084;
329,5844;102,07767;313,8670;65,514914;
329,8733;105,13008;314,1542;66,765452;
330,1622;98,559705;314,4414;69,544146;
330,4511;95,562996;314,7286;69,314101;
330,7400;99,156793;315,0158;67,445855;
331,0289;101,76705;315,3030;63,742939;
331,3178;111,95405;315,5902;63,138258;
331,6067;110,93021;315,8774;65,724982;
