Wavelength [nm]	Intensity
348.0736	106.10301
348.3625	119.67801
348.6514	110.433
348.9403	106.32231
349.2292	108.58557
349.5181	114.71214
349.807	123.61685
350.0959	126.58488
350.3847	118.37741
350.6736	109.76618
350.9625	121.71149
351.2514	109.26812
351.5403	112.04615
351.8292	102.8635
352.1181	111.98885
352.407	108.81269
352.6959	119.55922
352.9848	128.89466
353.2737	133.20069
353.5626	148.43562
353.8515	152.95717
354.1404	164.52202
354.4293	189.99492
354.7182	180.76115
355.0071	190.66407
355.2959	198.23438
355.5848	194.84031
355.8737	186.24371
356.1626	175.17854
356.4515	166.63113
356.7404	156.98855
357.0293	139.5602
357.3182	138.64545
357.6071	146.80994
357.896	147.57284
358.1849	148.44547
358.4738	144.03826
358.7627	140.23362
359.0516	134.50405
359.3405	133.04403
359.6294	131.9585
359.9182	128.49515
360.2071	129.93426
360.496	132.81658
360.7849	127.74257
361.0738	138.35586
361.3627	135.07319
361.6516	139.36089
361.9405	129.59221
362.2294	124.53991
362.5183	134.6109
362.8072	136.70466
363.0961	135.53154
363.385	142.53314
363.6739	139.96577
363.9628	138.81618
364.2517	147.63173
364.5405	153.74606
364.8294	155.18698
365.1183	152.85466
365.4072	158.03464
365.6961	163.87174
365.985	168.70185
366.2739	176.19905
366.5628	179.18466
366.8517	181.2721
367.1406	189.84366
367.4295	193.23348
367.7184	191.07119
368.0073	200.52675
368.2962	212.82721
368.5851	214.89519
368.874	219.14726
369.1628	221.99504
369.4517	226.20928
369.7406	237.29594
370.0295	243.74826
370.3184	257.27066
370.6073	265.0253
370.8962	267.48382
371.1851	275.88791
371.474	275.9796
371.7629	302.79519
372.0518	302.58338
372.3407	321.34219
372.6296	333.31101
372.9185	344.77882
373.2074	362.73935
373.4963	372.63699
373.7851	384.53739
374.074	410.49542
374.3629	430.42889
374.6518	435.25806
374.9407	451.62594
375.2296	466.17086
375.5185	488.42655
375.8074	507.75134
376.0963	527.0925
376.3852	551.63828
376.6741	569.9195
376.963	590.28527
377.2519	614.4566
377.5408	639.5455
377.8297	669.86701
378.1186	696.14083
378.4074	722.52303
378.6963	746.29463
378.9852	781.22666
379.2741	800.32194
379.563	832.99361
379.8519	871.1559
380.1408	908.23811
380.4297	935.91596
380.7186	973.22393
381.0075	1010.4936
381.2964	1030.637
381.5853	1058.8275
381.8742	1103.3677
382.1631	1142.9998
382.452	1183.796
382.7409	1220.4764
383.0297	1276.5616
383.3186	1317.7784
383.6075	1361.4432
383.8964	1409.0305
384.1853	1466.3236
384.4742	1517.2827
384.7631	1575.0905
385.052	1622.53
385.3409	1671.5688
385.6298	1728.4729
385.9187	1769.8719
386.2076	1813.1369
386.4965	1860.8915
386.7854	1909.1561
387.0743	1964.2801
387.3632	2016.187
387.652	2071.4395
387.9409	2131.2491
388.2298	2177.9629
388.5187	2231.6116
388.8076	2296.0612
389.0965	2350.3044
389.3854	2419.4433
389.6743	2455.8745
389.9632	2530.381
390.2521	2586.4775
390.541	2659.6918
390.8299	2716.6223
391.1188	2782.8786
391.4077	2841.8395
391.6966	2904.4469
391.9855	2984.1327
392.2743	3038.0217
392.5632	3101.5175
392.8521	3150.5407
393.141	3218.1015
393.4299	3301.4546
393.7188	3379.6014
394.0077	3444.3563
394.2966	3501.9298
394.5855	3585.2165
394.8744	3663.3989
395.1633	3738.9926
395.4522	3805.6546
395.7411	3889.6286
396.03	3967.3061
396.3189	4046.1265
396.6078	4125.2454
396.8966	4217.3966
397.1855	4303.9844
397.4744	4377.2685
397.7633	4448.3048
398.0522	4522.8469
398.3411	4599.5949
398.63	4650.4992
398.9189	4721.6784
399.2078	4761.0501
399.4967	4826.1509
399.7856	4874.2033
400.0745	4925.1897
400.3634	4964.4873
400.6523	5007.1667
400.9412	5026.6313
401.2301	5069.5419
401.5189	5100.8507
401.8078	5176.2751
402.0967	5196.5937
402.3856	5291.0154
402.6745	5348.0772
402.9634	5422.8105
403.2523	5459.3492
403.5412	5515.0524
403.8301	5573.7546
404.119	5680.9132
404.4079	5703.0655
404.6968	5770.7353
404.9857	5801.5966
405.2746	5837.1047
405.5635	5849.6509
405.8524	5898.0524
406.1412	5911.3882
406.4301	5972.4447
406.719	6002.864
407.0079	6040.9624
407.2968	6109.9844
407.5857	6172.1634
407.8746	6218.6343
408.1635	6265.9913
408.4524	6326.1159
408.7413	6381.1757
409.0302	6425.2449
409.3191	6453.7594
409.608	6522.8039
409.8969	6576.4882
410.1858	6592.1055
410.4747	6617.559
410.7635	6691.6818
411.0524	6700.8477
411.3413	6749.0185
