Wavelength [nm]	intensity
495.3719	23280.835
495.6591	23457.749
495.9463	23535.7
496.2335	23616.814
496.5207	23736.638
496.8079	23846.582
497.0951	23915.938
497.3822	24051.24
497.6694	24113.579
497.9566	24296.777
498.2438	24345.073
498.531	24383.605
498.8182	24502.973
499.1054	24592.247
499.3926	24682.48
499.6798	24766.445
499.967	24830.521
500.2542	24953.001
500.5414	24997.18
500.8285	25036.153
501.1157	25107.892
501.4029	25187.038
501.6901	25253.454
501.9773	25287.842
502.2645	25363.74
502.5517	25410.062
502.8389	25496.652
503.1261	25591.129
503.4133	25614.196
503.7005	25703.191
503.9876	25741.246
504.2748	25800.827
504.562	25868.253
504.8492	25910.895
505.1364	26052.219
505.4236	26036.729
505.7108	26147.117
505.998	26123.799
506.2852	26172.762
506.5724	26283.299
506.8596	26296.169
507.1467	26314.202
507.4339	26441.731
507.7211	26502.762
508.0083	26570.734
508.2955	26586.762
508.5827	26627.322
508.8699	26649.374
509.1571	26606.689
509.4443	26713.76
509.7315	26825.638
510.0187	26818.646
510.3059	26800.113
510.593	26925.63
510.8802	26977.516
511.1674	27004.084
511.4546	26972.213
511.7418	27058.893
512.029	27039.035
512.3162	27097.863
512.6034	27088.136
512.8906	27108.941
513.1778	27150.403
513.465	27144.395
513.7521	27165.64
514.0393	27109.408
514.3265	27028.08
514.6137	26995.345
514.9009	27021.356
515.1881	26983.969
515.4753	26980.307
515.7625	26887.245
516.0497	26810.056
516.3369	26809.709
516.6241	26825.355
516.9113	26818.05
517.1984	26760.285
517.4856	26690.258
517.7728	26694.846
518.06	26686.617
518.3472	26697.59
518.6344	26710.502
518.9216	26591.156
519.2088	26631.32
519.496	26628.642
519.7832	26600.64
520.0704	26567.616
520.3575	26548.84
520.6447	26560.186
520.9319	26529.156
521.2191	26567.005
521.5063	26588.259
521.7935	26548.951
522.0807	26577.386
522.3679	26617.668
522.6551	26588.203
522.9423	26520.522
523.2295	26540.97
523.5166	26494.451
523.8038	26467.788
524.091	26472.5
524.3782	26423.993
524.6654	26504.57
524.9526	26540.28
525.2398	26451.363
525.527	26425.465
525.8142	26484.931
526.1014	26409.399
526.3886	26501.421
526.6758	26475.598
526.9629	26503.404
527.2501	26455.354
527.5373	26480.653
527.8245	26558.139
528.1117	26476.043
528.3989	26507.403
528.6861	26525.055
528.9733	26483.122
529.2605	26439.004
529.5477	26458.383
529.8349	26392.463
530.122	26399.514
530.4092	26441.392
530.6964	26543.985
530.9836	26577.512
531.2708	26587.324
531.558	26571.537
531.8452	26569.158
532.1324	26575.34
532.4196	26609.912
532.7068	26541.367
532.994	26560.645
533.2812	26550.949
533.5683	26574.625
533.8555	26621.882
534.1427	26660.953
534.4299	26648.791
534.7171	26688.371
535.0043	26713.797
535.2915	26671.74
535.5787	26729.772
535.8659	26743.172
536.1531	26695.3
536.4403	26699.506
536.7274	26789.64
537.0146	26838.159
537.3018	26782.747
537.589	26773.437
537.8762	26858.066
538.1634	26889.047
538.4506	26965.203
538.7378	26999.429
539.025	26954.659
539.3122	27001.175
539.5994	27033.891
539.8865	26965.813
540.1737	27024.451
540.4609	27048.783
540.7481	27089.534
541.0353	27065.792
541.3225	27110.803
541.6097	27103.065
541.8969	27141.766
542.1841	27194.554
542.4713	27268.118
542.7585	27228.667
543.0457	27278.378
543.3328	27236.525
543.62	27249.87
543.9072	27244.756
544.1944	27324.054
544.4816	27292.812
544.7688	27385.786
545.056	27332.329
545.3432	27471.803
545.6304	27437.808
545.9176	27429.619
546.2048	27520.224
546.4919	27578.074
546.7791	27601.955
547.0663	27701.216
547.3535	27702.61
547.6407	27753.509
547.9279	27739.229
548.2151	27846.963
548.5023	27887.718
548.7895	27956.58
549.0767	27977.336
549.3639	27954.69
549.6511	28073.749
549.9382	28160.668
550.2254	28230.68
550.5126	28245.775
550.7998	28296.071
551.087	28395.444
551.3742	28459.991
551.6614	28458.283
551.9486	28545.27
552.2358	28591.364
552.523	28687.76
552.8102	28776.18
553.0973	28819.588
553.3845	28872.433
553.6717	28933.484
553.9589	29071.071
554.2461	29175.161
554.5333	29199.343
554.8205	29252.381
555.1077	29291.019
555.3949	29378.246
555.6821	29542.859
555.9693	29644.144
556.2565	29723.391
556.5436	29727.249
556.8308	29756.929
557.118	29959.598
557.4052	30056.71
557.6924	30139.5
557.9796	30186.768
558.2668	30319.976
558.554	30335.127
558.8412	30403.55
559.1284	30504.83
559.4156	30659.711
559.7027	30730.167
559.9899	30905.359
560.2771	31012.365
560.5643	31091.301
560.8515	31121.749
561.1387	31246.815
561.4259	31397.477
561.7131	31558.552
562.0003	31580.953
